Cod Municipio;MSAN01;MSAN021;MSAN022;MSAN023;MSAN024;MSAN025;MSAN026;MSAN04;MSAN041;MSAN042A;MSAN042B;MSAN043A;MSAN043B;MSAN05;MSAN051A;MSAN051B;MSAN052;MSAN061;MSAN062;MSAN063;MSAN064;MSAN07;MSAN08;MSAN091;MSAN092;MSAN093;MSAN10;MSAN1011;MSAN1012;MSAN1013;MSAN1014;MSAN1015;MSAN1016;MSAN1017;MSAN1018;MSAN11;MSAN121;MSAN122;MSAN123;MSAN124;MSAN125;MSAN126;MSAN127;MSAN128;MSAN129;MSAN1210;MSAN1211;MSAN13;MSAN14;MSAN15;MSAN16;MSAN171;MSAN17111;MSAN17112;MSAN17113;MSAN172;MSAN17211;MSAN17212;MSAN17213;MSAN173;MSAN17311;MSAN17312;MSAN17313;MSAN174;MSAN17411;MSAN17412;MSAN17413;MSAN175;MSAN17511;MSAN17512;MSAN17513;MSAN176;MSAN17611;MSAN17612;MSAN17613;MSAN177;MSAN17711;MSAN17712;MSAN17713;MSAN178;MSAN17811;MSAN17812;MSAN17813;MSAN179;MSAN17911;MSAN17912;MSAN17913;MSAN1710;MSAN171011;MSAN171012;MSAN171013;MSAN1711;MSAN171111;MSAN171112;MSAN171113;MSAN1712;MSAN171211;MSAN171212;MSAN171213;MSAN1713;MSAN171311;MSAN171312;MSAN171313;MSAN171314;MSAN171321;MSAN171322;MSAN171323;MSAN1714;MSAN171411;MSAN171412;MSAN171413;MSAN171414;MSAN171415;MSAN171421;MSAN171422;MSAN171423;MSAN1715
4116703;Câmara Intersetorial de Segurança Alimentar e Nutricional;Não;Sim;Não;Não;Não;Não;Possui lei;1792;10;2016;-;-;Sim;1431;2011;2/3 sociedade civil  e 1/3 governo;Sim;Sim;Não;Não;1;12;-;-;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;secretaria de agricultura e meio ambiente;Não;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não
4116802;Secretaria em conjunto com outras políticas setoriais;Sim;Sim;Não;Não;Não;Não;Possui lei;1713;2;2018;-;-;Sim;1750;2018;2/3 sociedade civil  e 1/3 governo;Sim;Não;Não;Sim;2;24;Não;Sim;-;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Não;ASSISTÊNCIA social;Não;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não
4116901;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;2636;6;2018;-;-;Sim;2468;2015;2/3 sociedade civil  e 1/3 governo;Sim;Não;Não;Não;0;12;-;-;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;-;-;-;-;-;-;-;-;-;-;-;;-;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Não;-;-;-;Sim;Não;Sim;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não
4116950;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;;-;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim
4117008;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;1894;7;2014;-;-;Sim;171;2014;2/3 sociedade civil  e 1/3 governo;Sim;Sim;Sim;Sim;3;24;Não;Sim;-;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Não;secretaria municipal de assistência social;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Sim;Sim;Não;-;-;-;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Sim;Não
4117057;Não possui estrutura;-;-;-;-;-;-;Possui lei;783;5;2011;-;-;Sim;793;2011;2/3 sociedade civil  e 1/3 governo;Sim;Não;Sim;Não;2;24;Não;Sim;-;Sim;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;-;-;-;-;-;-;-;-;-;-;-;;-;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não
4117107;Não possui estrutura;-;-;-;-;-;-;Possui lei;2919;12;2017;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;;-;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Não
4117206;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Possui lei;1235;8;2014;-;-;Sim;878;2003;2/3 sociedade civil  e 1/3 governo;Sim;Sim;Sim;Sim;2;24;-;-;Sim;Não;-;-;-;-;-;-;-;-;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Não;secretaria municipal de assistência social;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não
4117214;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;;-;Não;Não;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não
4117222;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;-;-;-;Sim;3191;2014;2/3 sociedade civil  e 1/3 governo;Sim;Sim;Não;Sim;0;18;-;-;Sim;Não;-;-;-;-;-;-;-;-;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não;Não;secretaria de educação e cultura;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;-;-;-;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não
